level_0,index,registered_charity_number,charity_name,latest_income,latest_expenditure,charity_activities,charity_contact_address1,charity_contact_email
166,296579,1117844,GLOBAL WITNESS TRUST,1922683,1922743,"To advance the education of the public in environmental matters, the preservation and conservation of the natural environment and its sustainable development; andTo carry out or promote research into the maintenance and observance of human rights in places where there may have been an impact on the human rights of the inhabitants as a consequence of environmental damage",C/O Crowe UK LLP,GWTmail@globalwitness.org
167,246740,1069256,COMPUTERAID INTERNATIONAL,1906379,1851215,"Computer Aid International works with education, health and other non-profit organisations in developing countries to improve the effectiveness of their development interventions through IT. By providing low-cost equipment and software, and working with partners to provide training and support, we aim to reduce poverty through cost-effective, practical and locally relevant IT solutions.",Work Life,info@computeraid.org
168,216052,1041486,BIOREGIONAL DEVELOPMENT GROUP,1897797,1856115,"Bioregional Development Group helps to advance education for the public benefit, in particular concerning the practice of sustainable living including the conduct of community life and economic activity and to promote the preservation, conservation and restoration of the natural resources, animal and plant life, and habitats of the world.",Sustainable Workspaces,info@bioregional.com
169,280347,1102028,CANON COLLINS TRUST,1888303,2167134,"We provides educational opportunities for southern Africa through scholarships and community-based projects, building the skills and leadership required to facilitate development in the region, and using our networks to enable development practitioners from all over the region to share their knowledge. We aim in particular to improve access to education for disadvantaged groups.",Office 8,info@canoncollins.org.uk
170,298228,1119467,RENEWABLE WORLD,1876800,1703973,"Renewable World tackles poverty through renewable energy. It works in East Africa and South Asia to promote affordable reliable energy services for poor consumers to improve income generation, enterprise development, health & education. Our unique relationship with the Renewable Energy industry allows us to leverage skills, expertise and resources to support and develop our work.",1st & 2nd Floor Offices,getintouch@renewable-world.org
171,326561,1146016,UNITED NATIONS ASSOCIATION - UK,1822395,791931,"UNA-UK supports the aims of the United Nations: poverty eradication, conflict resolution, sustainable development and human rights for all. As the country's leading source of independent information on the UN, we seek to build a better understanding of the challenges facing the world and how to address them, through research, public information, educational resources, and outreach.",Angie Pankhania,info@una.org.uk
172,364589,1186433,GLOBAL CHANGE DATA LAB,1784746,1768490,"Global Change Data Lab is an educational charity with a focus on large global problems and international development. The charity's flagship project is the web publication Our World in Data, where we focus on communicating data and research to make progress against the world's largest problems.",Global Change Data Lab,info@ourworldindata.org
173,240013,1066825,DANCE EAST,1775492,1832274,"To advance the education of the general public and in particular young people throughout the county of Suffolk, with a secondary role within the Eastern region, by the maintenance, development and encouragement of the arts and dance and mime.",JERWOOD DANCEHOUSE,info@danceeast.co.uk
174,364069,1184662,SPOT PROJECT,1775313,1824118,SPOT PROJECT is a charity that advocates development of the new generation in Africa and around the world. Our aims revolve around meeting educational needs of the society and enriching individuals with the skills to enable them to prosper.,Spot Project,info@spotproject.org
175,187731,1013084,THE INSTITUTE FOR OPTIMUM NUTRITION,1769821,2160093,"Education and professional training for nutritional therapists, provision of advice on nutrition and wellbeing through our optimum nutrition clinics. Continual professional development training  and information and online training for the general public. The publication of a monthly online newsletter to provide accessible information on nutrition, wellbeing and lifestyle.",The Institute for Optimum Nutrition,info@ion.ac.uk
176,237836,1061687,THE YORKSHIRE DALES MILLENNIUM TRUST,1758090,1826904,"We support the well-being of the Dales. Activities range from conserving the environmental and heritage features making up the landscape to issues as diverse as countryside apprenticeships, supporting local communities, and encouraging sustainable development. Social exclusion, education, and engaging communities in nearby conurbations with the Dales have become a real focus.",Yorkshire Dales Millennium Trust,info@ydmt.org
177,330722,1151090,LIBERAL JUDAISM (ULPS),1756293,1608411,"LIBERAL JUDAISM SUPPORTS AND DEVELOPS A NETWORK OF 40 LIBERAL AND PROGRESSIVE SYNAGOGUES AND COMMUNITIES ACROSS THE UK AND EUROPE. WE ARE A VOICE FOR PROGRESSIVE JUDAISM, AND OFFER A RANGE OF SERVICES, INCLUDING SUPPORT AND DEVELOPMENT FOR RABBIS AND LAY LEADERS, ACTIVITIES FOR CHILDREN, YOUNG PEOPLE AND YOUNG ADULTS, LIFE CYCLE SERVICES, EDUCATIONAL RESOURCES AND NETWORKING AND SOCIAL ACTIVITIES.",LIBERAL JUDAISM,montagu@liberaljudaism.org
178,322840,1144827,THE UNIVERSITY OF NORTHAMPTON STUDENTS' UNION,1754938,3008165,"The University of Northampton Students' Union exists to support students at the University as they progress through their studies.  We do this by: -- providing guidance and support for educational needs;- delivering welfare awareness campaigns;- providing personal and team development opportunities, through sports clubs and other societies; and- providing social space and activities.",Univ. of Northampton Students Union,info@northamptonunion.com
179,322358,1144763,UNION OF KINGSTON STUDENTS,1749214,1615942,"The advancement of education of students at Kingston University for the public benefit by promoting their interests and welfare and representing, supporting and advising students, representing students' interests to the university, and providing social, cultural, sporting and recreational activities and forums for discussion and debate for the personal development of students.",Union of Kingston Students,studentsunion@kingston.ac.uk
180,323290,1144028,THE YARD THEATRE LIMITED,1720479,1585694,"For the public benefit to develop, promote and produce contemporary performance and theatre.To advance the education of the public in all aspects of the dramatic arts and the development of public appreciation of such art in London and elsewhere in the UK.",Unit 2a Queen's Yard,hello@theyardtheatre.co.uk
181,227193,1052720,ROYAL BERKSHIRE NHS FOUNDATION TRUST CHARITY,1641000,2550000,"The Charity seeks to secure donations, legacies, and sponsorship to enhance the care and treatment available to patients at the Royal Berkshire NHS Foundation Trust. Through the provision of grants they support projects which improve patient care and the hospital environment, medical equipment, health education, staff development and welfare, and that fall outside of the remit of the NHS.",ROYAL BERKS CHARITY,charity@royalberkshire.nhs.uk
182,376421,1195686,Count Us In,1635679,1722214,"Count Us In has the following charitable Objects: 1. Advance education 2. Relieve poverty by supporting such charitable causes as the trustees may from time to time determine 3. Promote sustainable development through:  The preservation, conservation and the protection of the environment and the prudent use of resources;  The relief of poverty and the improvement of the conditions",BATES WELLS BRAITHWAITE,info@leadersquest.org
183,156321,518985,K I N D,1634633,420484,Teaching - Social Environmental Education DevelopmentLearning - Residential BreaksHelping - KIND Christmas AppealSupporting - Practical Help,3 South Hunter Street,info@kind.org.uk
184,350919,1170528,SCOTTY'S LITTLE SOLDIERS,1623117,1346713,"Providing support to bereaved British Forces children & young people through our Assistance Programmes: Smiles, Support and Strides. Smiles provides fun-based opportunities for children to smile again. Support is focused on health & well-being & includes access to professional bereavement counselling in conjunction with partners. Strides provides access to small education and development grants.",21 Bergen Way,hello@scottyslittlesoldiers.co.uk
185,112945,290469,ANATOMICAL SOCIETY,1617076,1322434,"THE PROMOTION, DEVELOPMENT AND ADVANCEMENT OF THE ANATOMICAL SCIENCES, THE PROMOTION OF RESEARCH IN FURTHERANCE OF THE ABOVE OBJECT AND THE PUBLICATION OF THE USEFUL RESULTS OF SUCH RESEARCH AND THE PROMOTION AND ADVANCEMENT OF EDUCATION IN THE ANATOMICAL SCIENCES.",ANATOMICAL SOCIETY HEAD OFFICE,headoffice@anatsoc.org.uk
186,88531,264894,SHARE COMMUNITY LIMITED,1613228,1591587,"Share provides vocational training, education, and opportunities for personal development to disabled people - especially those with learning disabilities, who may also have autism - and those facing health related barriers to independence and employment.  We have 2 social enterprises offering catering and gardening services.  Based in Wandsworth, we have no geographical boundaries.",64 ALTENBURG GARDENS,info@sharecommunity.org.uk
187,274697,1097344,SPID THEATRE COMPANY LIMITED,1579283,280942,"To advance education for the public benefit by the promotion of the arts and to advance citizenship and community development by making the community rooms and activities available to residents  of kensal house estate and the surrounding neighbourhood for skills workshops, events  and recreation which improve the quality of their lives, regardless of their race, class, background or gender.",Kensal House estate community rooms,office@spidtheatre.com
188,134393,313123,THE ASSOCIATION FOR SCIENCE EDUCATION,1566275,1574498," Improving science education for all young people, primarily but not exclusively across the UK. This is achieved by supporting science educators, including trainees, teachers, technicians, initial teacher educators and others in the sector through conferences, journals and resources, curriculum and professional development programmes and contributions to research and policy debates.",ASSOCIATION FOR SCIENCE EDUCATION,info@ase.org.uk
189,60682,232488,THE LITTLE ANGEL THEATRE,1565408,1664373,"Puppet theatre for all ages, particularly children. One of only 3 permanent puppet theatres in the UK, Little Angel also runs an expanding education and participation programme, working with schools, communities and individuals to inspire creativity using puppetry. Little Angel also supports the rare artform of puppetry through R&D and professional development opportunities for puppeteers.",LITTLE ANGEL THEATRE,info@littleangeltheatre.com
190,328689,1150576,ABERYSTWYTH UNIVERSITY STUDENTS' UNION,1564147,1572211,"The Aberystwyth Guild of Students? vision statement is ?Setting the standard in Wales for the student experience.? Its mission statement is ?To enhance the Aberystwyth University student experience through representation, ensuring the highest standards in education provision, encouraging participation, supporting development and providing quality services.",Aberystwyth University Students' Un,union@aber.ac.uk
191,336596,1156729,CHICHESTER CATHEDRAL RESTORATION AND DEVELOPMENT TRUST CIO,1563501,1869818,"Raises funds to support Chichester Cathedral for:The restoration, development and maintenance of the Cathedral. The promotion and improvement of the musical and educational facilities. The restoration, development and maintenance of other buildings in the Cathedral Close. Such other charitable objects and charitable activities as are normally undertaken by the Dean and Chapter.",The Royal Chantry,trust@chichestercathedral.org.uk
192,128101,305968,BOWLES ROCKS TRUST LIMITED,1552286,1505682,Educational and social development through the experience of adventurous activities,BOWLES CENTRE,admin@bowles.rocks
193,367668,1191415,VICTORIA COLLEGE LIMITED,1484000,1389000,"For the public benefit the advancement of education of persons under the age of 25 years with special educational needs by providing and assisting in the provision of facilities and services to meet their educational, developmental and social welfare needs so that they can achieve their full potential.",VICTORIA COLLEGE,enquiries@victoriacollege.bham.org.uk
194,168788,701683,THE CRESWELL HERITAGE TRUST,1474841,1548808,"Promoting for the benefit of the public, the conservation and preservation of the geology, archaeology, ecology and landscape in the Creswell Crags Heritage Area and the surroundings; of taking steps to secure the removal of inappropriate development from the Creswell gorge and at other sites the Trust is seeking to enhance and preserve; to advancing public education and promote research.",Creswell Crags Museum,info@creswell-crags.org.uk
195,45734,213629,WILLIAM ADLINGTON CADBURY CHARITABLE TRUST,1474312,1217940,"In the West Midlands region: social welfare, medical and healthcare projects, education, places of religious worship, conservation of the environment, the arts and penal reform. In Ireland: cross community initiatives promoting reconciliation. In the United Kingdom as a whole: the Religious Society of Friends. Overseas: sustainable development projects predominantly in Africa.",ROKESLEY,info@wa-cadbury.org.uk
196,307643,1128683,THE UROLOGY FOUNDATION,1470272,1288459,"The Foundation uses its funds to raise the standard of treatment and management of urological diseases and of research in UK and Ireland by funding educational, training programmes and research posts.The Foundation aims to improve the diagnosis, treatment and management of urological disease through the development and support of medical education, training, and sponsorship of scientific research.",1-2 ST ANDREW'S HILL,info@theurologyfoundation.org
197,214531,1039958,KINGS CHURCH INTERNATIONAL,1452499,1443902,"We are a church which follows Jesus by serving people of all ages, races and backgrounds; through church services, small groups, events, training and courses supporting family life. In addition we operate The King's House School, Windsor: a primary school with a Christian ethos. We also engage in overseas Christian outreach as well as relief, development & education projects.",KING'S HOUSE,info@kcionline.org
198,301023,1121820,Swindon Town FC Community Foundation,1429986,1137784,"The Charity's objects are to further and assist in education (on a social and physical basis) of children and adults within Swindon and the surrounding areas, through the use of the game of football. The Community Foundation also support a Football Development programme in Zambia.",Foundation Park,contact@stfcfoundation.com
199,346162,1169308,ETHAR RELIEF,1417800,1971384,"Providing Emergency relief and development programs to Eritrean Refugees in particular and to the needy in the Horn of Africa and Yemen, we do this by providing grants and financial support the victim of natural and other kind of disaster. our main focus is Education, Training, Clean Water, Health, orphans, and food programs. we make grant to individuals &  organisation to achieve these objectives",467 COVENTRY ROAD,director@etharrelief.org
200,237838,1061898,THINKTANK TRUST,1417000,1983929,"THINKTANK TRUST'S CHARITABLE OBJECTS ARE TO ADVANCE THE EDUCATION OF THE PUBLIC BY THE OPERATION, MAINTENANCE, EXPANSION AND DEVELOPMENT OF MUSEUMS IN BIRMINGHAM AND THE INCREASING OF PUBLIC UNDERSTANDING OF AND OPPORTUNITIES FOR LEARNING ABOUT HISTORY, SCIENCE AND TECHNOLOGY",Thinktank Trust,hello@birminghammuseums.org.uk
201,258011,1079385,WESEEHOPE,1400601,1238901,"WeSeeHope is an international development organisation committed to creating sustainable change for vulnerable children across East Africa through community-led education, child rights and economic empowerment programmes developed and delivered in partnership with local NGOs and community-based organisations.",WeSeeHope,hello@weseehope.org.uk
202,217579,1043019,THE MANUFACTURING INSTITUTE,1395932,1567713,Development and delivery of educational programmes including academic and vocational qualifications.Promoting manufacturing with young people and educators. Promoting public awareness of the physical and intellectual outputs of manufacturing and advocacy for the sector to the broader public.,The Manufacturing Institute,info@manufacturinginstitute.co.uk
203,297526,1117590,MASORTI JUDAISM,1392989,1408738,"Our purpose is to develop flourishing communities, rooted in traditional practice and modern values, where people can find meaning by connecting to Judaism and to each other. We build capacity for a network of communities in London, Hertfordshire and across the UK. Core activities include leadership training, community development and organising, youth work, education and thought leadership.",Masorti Judaism,hello@masorti.org.uk
204,306828,1127386,INTERNATIONAL BACCALAUREATE FUND UK,1384424,1433899,"The purposes of the charity is the advancement of education for the benefit of the public. This includes curriculum and assessment development, teacher professional development, consultancy, conferences and collaboration with relevant institutions. Enable more students to experience and benefit from an IB education regardless of personal circumstances.",Rue du Pre-de-la-Bichette 1,legal@ibo.org
205,45336,213128,THE QUEEN'S NURSING INSTITUTE,1383431,1935235,"PROVIDES UNIQUE LEARNING RESOURCES, PRACTICE DEVELOPMENT OPPORTUNITIES, STANDARDS FOR EDUCATION & PRACTICE & INNOVATION PROJECT SUPPORT EVENTS & THE AWARD OF QUEEN'S NURSE TITLE INSPIRE NURSES TO DELIVER HIGH QUALITY CARECREATES UNIQUE EVIDENCE FOR POLICY INFLUENCING ACTIVITIES TO SUPPORT EXCELLENT CARE FOR PATIENTS AND FAMILIESASSISTANCE TO COMMUNITY NURSES IN FINANCIAL/ PERSONAL DIFFICULTY",1a Henrietta Place,mail@qni.org.uk
206,222600,1048090,BUSINESS EDUCATION PARTNERSHIP (UK) LTD,1361653,1357767,To advance the education of young people with particular regard to the development of applicable commercial and business skills and methods and other related matters.,62-64 Western Road,info@bepgroup.net
207,291727,1112580,LEEDS RUGBY  FOUNDATION,1356244,1345919,"Leeds Rugby Foundation is Leeds Rugby's Registered Charity. The Foundation was formed with the aim of providing high quality sports, health and educational opportunities to people living in Leeds and Yorkshire. The Foundation employs a team of full time Rugby and Sports Development Officers, working with over 300 schools and 80 rugby clubs throughout the Leeds and Yorkshire.",AMT Headingley Rugby Stadium,bob.bowman@leedsrhinosfoundation.org
208,288489,1110104,BRITISH MUSLIM HERITAGE CENTRE,1347275,1215983,"The Centre aims to provide diverse facilities for people in UK and abroad. Facilities will include social, economic, community cohesion and development. Provisions for education, training, and exhibitions will also be made available. The Centre is predicted to fulfil a variety of social and economic functions and to assist in the affirmation of cultural identity and plurality.",COLLEGE ROAD,finance@bmhc.org.uk
209,254621,1077401,EAST STREET ARTS,1343317,2119984,"Promoting education about the Visual Arts and undertakes advocacy for arts' socially transformative role. Provides facilities, buildings, space and resources for making art. Facilitates debate, discourse and criticism. Provides a programme of activities including shows of artwork and engaging audiences.Supports artist's skills and professional development, through exchange and interaction.",PATRICK STUDIOS,hello@esamail.org.uk
210,352447,1174253,THE BARN THEATRE PROJECT,1340878,1202501,"To promote, maintain, improve and enhance access to all aspects of professional and amateur performing art and the development of public appreciation of such art and to advance public education in relation to it",INGLESIDE HOUSE,info@barntheatre.org.uk
211,281194,1103021,GRACE FOUNDATION,1331577,1289770,"The Fund was incorporated on the 24 December 2003 with its objectives being the advancement, for the public benefit, education in the United Kingdom by promoting the establishment, maintenance, carrying on, management and development of schools with a Christian ethos and in accordance with Christian principles.",Grace Foundation,mail@graceacademy.org.uk
212,365156,1185152,BRITISH FASHION COUNCIL FOUNDATION,1321068,1080932,Education/trainingThe Prevention Or Relief Of PovertyArts/culture/heritage/scienceEconomic/community Development/employment,Fora Ltd,info@britishfashioncouncil.com
213,298730,1119915,HILL HOLT WOOD,1317217,1215172,"Community controlled woodland promoting sustainable development for the benefit of the public by providing free public access, promoting sustainable means of achieving economic growth and regeneration.  To advance the education of the public in subjects relating to enhancement and rehabilition of the environment. Providing education courses.",HILL HOLT WOOD,steve.donagain@hillholtwood.co.uk
214,328087,1147861,ENERGIZE SHROPSHIRE TELFORD AND WREKIN,1304382,1084292,Sport development advice / guidance - facilities and participation schemesKnowledge and information services - sports participation and opportunitiesCommissioning / grant aiding providers to deliver activityTraining and education services - to sports / physical activity providers Award programmes - eg Coach / Volunteer of the Year etc,Darwin House,info@energizestw.org.uk
215,285069,1108792,ENGLISH UK LIMITED,1300859,1249830,"English UK's charitable object is to advance the education of international students in the English language.  We do this by professional development and training for staff in the sector and agents; by working with the British Council on quality assurance and accreditation of courses; and by providing information and guidance for students, including a free complaints process.",Office Suite B,accounts@englishuk.com
216,339178,1161014,THE SAVOY EDUCATIONAL TRUST,1297266,2178661,"The main aim of the Savoy Educational Trust is the advancement and development of education and learning within the hospitality industry.  The Trust does this by awarding grants to schools, colleges and universities to benefit those studying hospitality.  The Trust also seeks to support projects that will enhance current skills and continuing professional development for this industry.",6 TRULL FARM BUILDINGS,info@savoyeducationaltrust.org.uk
217,242317,1066749,FIRST FRUIT,1293805,1110347,To provide the advancement education and relief of poverty of people in needy circumstances involving the provision of assistance and training for the development of skills in coping with life and employment. To promote the advancement of the Christian Faith.,34 Norwich Road,info@firstfruit.org.uk
218,215903,1041335,RURAL MEDIA CHARITY,1290192,1198331,"RURAL MEDIA CHARITY COMBINES COMMUNITY AND INFORMAL EDUCATION WITH ARTS AND MEDIA PRODUCTION EXPERTISE TO EMPOWER RURAL COMMUNITIES,PARTICULARLY THOSE MOST DISADVANTAGED. THE RESULTS ARE HIGH-QUALITY PROJECTS AND EDUCATIONAL RESOURCES THAT GIVE RURAL COMMUNITIES A 'VOICE' AND INFORM POLICY DEVELOPMENT.",RURAL MEDIA CHARITY,info@ruralmedia.co.uk
219,280520,1101111,ACTION WEST LONDON,1276745,1136224,"1.'Changing lives through Employment, education and Enterprise' 2. Helping individuals gain education/training/qualifications in ESOL/Skills for Life/work focussed training.  3. Community Development/Citizenship/community safety/Acton Street Market regeneration project 4.Support to businesses/SMEs and managing flexible work space for business",10 WARPLE MEWS,info@actionwestlondon.org.uk
220,341109,1160802,SHOFAR DAY CARE CENTRE,1266056,1252221,"Advance the development and education of children, through childcare, which promotes the ethos and values of Reform Judaism.",THE STERNBERG CENTRE FOR JUDAISM,admin@shofardaycarenursery.org.uk
221,138227,328693,MOTIONHOUSE,1262602,1232931,"Education of the public by productions and encouragement of the arts.  During the year we have delivered touring dance performances within theatres and within public spaces, performances at street festivals, workshops with schools, professional development, adult community classes, holiday projects for children, rental of dance studio to local community group",SPENCER YARD,info@motionhouse.co.uk
222,311058,1138833,BACK ON THE MAP LIMITED,1259400,970659,"Promoting and facilitating social, physical and economic development in Hendon.  Objectives are the relief of unemployment, advancement of education, provision and improvement of housing, provision of recreational facilities, protection of the environment, provision of health facilities, promotion of public safety, prevention of crime and other means from time to time determined by the trustees.",67 Toward Road,enquiries@backonthemap.org
223,360742,1181057,FIRST STEPS  NURSERY,1251049,1277931,"To advance the development and education of mainly, but not exclusively, pre-school children, by offering appropriate play, education and care facilities and activities through the medium of Welsh and English and by encouraging parents to understand and provide for the needs of their children.",18 MAIN ROAD,info@firststeps.wales
224,368045,1188731,SUSTAINABLE HOSPITALITY ALLIANCE,1234437,1184787,"The Chairty's objectives are for the public benefit, anywhere in the world to advance education, prevent and relieve poverty and to relieve unemployment, (including those with little or no education, survivors of human trafficking, people with disabilities, refugees and migrants). Advance Human rights, promote the protection & preservation of the natural environment and sustainable development.",2 PUTNEY HILL,info@sustainablehospitalityalliance.org
225,133067,311767,HAWKWOOD COLLEGE LIMITED,1232051,1281526,"Hawkwood is an arts and educational charity. The objects of the Charity are, for the public benefit, to advance education and arts encouraging people to develop their full potential within a creative, holistic, social and sustainable environment including, but without limitation, by providing residential accommodation to such people to assist with their development",HAWKWOOD COLLEGE LTD,info@hawkwoodcollege.co.uk
226,236003,1062400,THE DORSET NATURAL HISTORY AND ARCHAEOLOGICAL SOCIETY,1221234,2280420,"The advancement of education for the benefit of the public in the areas of archaeology, natural sciences, literature, the fine and decorative arts, antiquities and local history relating to the County of Dorset.The acquisition, preservation, conservation, exhibition and development of collections relating to the areas outlined above.",DORSET MUSEUM,enquiries@dorsetmuseum.org
227,326392,1145603,THE NATIONAL LEAGUE TRUST,1217144,1239506,"The development and delivery of community projects to benefit young people, those who may be disadvantaged through age, disability or their circumstance. These projects include sports, education and health activities and are delivered by football clubs or their charities who are members of The National League. This support is in the form of grant aid and advice.  We are active in England & Wales.",The Football Conference Ltd,admin@nationalleaguetrust.org.uk
228,370464,1190040,WELLBEING ECONOMY ALLIANCE,1215290,1019968,"To advance the education of the public in subjects relating to sustainable development. In pursuit of this object, the organisation will, in particular but not limited to, create guides and briefing papers that synthesise existing ideas and solutions aligned to a wellbeing economy and deliver speeches, presentations and talks on a wellbeing economy.",BRAKEBROOK,michael@wellbeingeconomy.org
229,287973,1110725,NATIONAL CENTRE FOR WRITING,1211437,1601434,"The main objectives of the National Centre for Writing are to advance the education of the public by the promotion, encouragement and development of creative writing and the appreciation of the written word in all its forms.",DRAGON HALL,info@nationalcentreforwriting.org.uk
230,309553,1133120,CHESS IN SCHOOLS AND COMMUNITIES,1210106,1141832,"Advancement of education, amateur sport,social inclusion for the public benefit by promoting the mental and moral development and improvement of young people, socially and economically disadvantaged and socially excluded as a result of unemployment, financial hardship, old age, ill health or disability through the promotion, teaching, coaching, playing and competition of chess",44 BAKER STREET,malcolmpein@aol.com
231,369259,1189760,CORE & CO FOUNDATION,1206204,785919,"The objects of the CIO are, for the public benefit, to advance the development and education of children and young people under the age of 25, providing interventions including artistic activities for the students of CORE Education Trust and partners schools, but not exclusively.",CORE & Co Foundation,enquiries@coreandco.foundation
232,236849,1062067,BRITISH ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS,1205285,950233,"To promote and encourage education, study, research and development of Oral and Maxillofacial Surgery as a specialty by the dissemination of information as it relates to the specialty.",BAOMS,OFFICE@BAOMS.ORG.UK
233,155564,518211,S W DURHAM TRAINING LIMITED,1200754,1202862,"Work based learning provider, funded through Skills Funding Agency and Education Funding Agency for the delivery of engineering, business admin & customer service apprenticeship for individuals 16+. Work with employers to deliver training prgrammes to support their workforce development. Work with schools to deliver GCSE's Btec diplomas & certificates in engineering to support the 14-19 agenda.",South West Durham Training Ltd,SWDTFinance@bacoll.ac.uk
234,331893,1151435,CENTRE FOR LONDON,1198932,1197626,"Our vision is be the foremost research organisation focused on helping London face its future challenges and opportunities, as well as providing insight into the development of cities.We aim to produce research and events which provide insight into and comment on London and its future for the education of the public and the shaping of policy and public debate.",House of Sport,hello@centreforlondon.org
235,194733,1020101,BLACKBURN DIOCESAN BOARD OF EDUCATION,1186000,1172000,"To develop Christian Education in parishes, schools, further and higher education establishments within the Diocese of Blackburn.  To support school governors in the maintenance and development of school buildings.  To be the Custodian trustee of school buildings and land as defined in individual school trust deeds or under section 86 of the Education Act 1944.",BLACKBURN DIOCESAN BOARD OF,helen.morris@blackburn.anglican.org
236,305024,1125653,SAFAR ACADEMY TRUST,1182087,1232880,Dissemination of Islamic education & pedagogy; Development of resources & providing support to schools that teach Islamic subjects; Running school in the UK for childern & Adults teaching Islamic studies; Providing training to school staff and needy; and helping the needy people abroad.,1st floor,shaz@safaracademy.org
237,256485,1078508,THE ASSOCIATION OF GRADUATE CAREERS ADVISORY SERVICES,1180868,972344,AGCAS is the professional body for careers and employability professionals working with higher education students and graduates and prospective entrants to higher education.  AGCAS' aims are to:Provide a lobbying voice for its membership.Be the focal point for sector-wide research and expert opinion.Provide a range of support and professional development opportunities for its members.,Pegasus House,elaine.boyes@agcas.org.uk
238,296944,1117131,THE GORILLA ORGANIZATION,1158985,1328667,"Saving gorillas in their natural forest habitat in central Africa: supporting, training and equipping rangers; providing conservation, education and socio-economic development opportunities for local people; planting trees to protect the forest and mitigate climate change.",The Gorilla Organization,info@gorillas.org
239,318182,1136905,YORK ST JOHN STUDENTS' UNION,1152595,1108375,"We aim to enhance the education of students at York St John University by:- 1) promoting the interests & welfare of students,  representing, supporting & advising members; 2) being the recognised representative channel between students & the University;  & 3) providing social, cultural, sporting & recreational activities & forums for discussions & debate for the personal development of its members",YORK ST. JOHN UNIVERSITY,su@yorksj.ac.uk
240,355903,1177502,YOUTH WORKS NORTHAMPTONSHIRE,1150726,939600,"Education provision for young people struggling to engage with mainstream education.Counselling, support services and targeted interventions to improve mental health and emotional wellbeing.Clubs, and activities to improve social wellbeing and skill development. Community events and projects to raise public awareness of the issues affecting young people and marginalised/minority groups.",Keystone,enquiries@youthworksnorthamptonshire.org.uk
241,340441,1162592,THIRD SECTOR LEADERS KIRKLEES,1150440,1160076,"To promote any charitable purposes for the public benefit in the local government district of Kirklees, and in particular the advancement of education and the arts, culture or heritage, the advancement of health, the advancement of environmental protection or improvement, the advancement of citizenship or community development and the relief of disadvantage.",Third Sector Leaders Kirklees,comms@tslkirklees.org.uk
242,328940,1148450,MOTHER HELPAGE (UK),1126441,892356,"Mother Helpage UK was registered in 2007 with registration number 1119287. Mother Helpage UK was re-registered in 2012  because of the amendments of its governing documents.Charity Activities:- Emergency response- Disaster preparedness training- Health, Security, Education, Safe Water, Housing- Advocacy- Fair Trade- Youth development- Knife & Drugs Crime Prevention",8 Brooklands Drive,info@motherhelpage.org
243,109371,286818,CITY OF LONDON SINFONIA LIMITED,1125374,1154630,"The principal object of the charity is:to promote, maintain, improve and advance the education of the public in all aspects of the arts including music, drama, mime and dance; to contribute to the development of public appreciation of art through the presentation of public performances;to further the social and cultural welfare of communities of various London boroughs and UK communities.",1st Floor,info@cls.co.uk
244,134488,313219,THE CERTIFIED ACCOUNTANTS EDUCATIONAL TRUST,1118151,910827,"The charity's principal objects include the advancement of education in accountancy, financial management and related subjects as well as the support of individuals studying such subjects.  It provides CPD (Continuing Professional Development) to members of ACCA and members of the public. It also provides a magazine Student Accountant, technical publications and promotes accounting research.",A C C A,hugh.mccash@accaglobal.com
245,348324,1170216,THE ALTENBURG FOUNDATION,1116108,240403,"The Trustees intend to make donations or grants to charitable and other organisations for the delivery of exclusively charitable projects aimed at the advancement of education, citizenship or community development and or amateur sport,",HAMLET HOUSE,christiane@rusitrust.com
246,298208,1118290,DEVELOPMENT AID FROM PEOPLE TO PEOPLE UK,1106836,1112133,"DAPP UK provide or support programmes of education, training and development worldwide aimed at the relief of poverty and the development of the poorest populations",77 a-b Abington Street,info@dapp-uk.org
247,219178,1044624,YMCA GEORGE WILLIAMS COMPANY,1099187,1488478,"... We seek to enhance the practice of those concerned with the development of people's potential as learners and educators. We work towards relationships characterised by openness to learning, change and dialogue. We do this through the provision of educational programmes and activities, research, and association with practitioners and agencies.",10-11 Charterhouse Square,companysecretary@ymcageorgewilliams.uk
248,364216,1185117,THE AMOS BURSARY,1097095,535323,The Amos Bursary promotes equality and diversity and advancement of education ( including social and career development training ) for the public benefit of young people of African and Caribbean heritage.,45 Tindale Close,contact@amosbursary.org.uk
249,256064,1077821,BHAARAT WELFARE TRUST,1081300,837131,General charitable purposes;Education & training;Medical/health/sickness;Disability;Relief of poverty;Overseas aid/famine relief;Religious activities;Accommodation/housing for the needy;Animal welfare;Environment/conservation/heritage;Economic/community development/employment;Supporting other charitable institutions,55 LOUGHBOROUGH ROAD,info@indiaaid.com
250,302185,1122994,BHT EARLY EDUCATION AND TRAINING,1079903,1135122,"BHT Early Education and Training offers support, training and development alongside care and education for children and  families in the Bradford area, operating 4 childcare facilities for children 0-11 years, a language and communication programme for children accessing nursery provision, schools and in their homes, together with support activities and training for parents and professionals.",BHT Early Education & Training,michellehyland@bhtearlyed.org.uk
251,37612,204121,"CAMBRIDGE PAST, PRESENT & FUTURE",1069054,993624,"Cambridge Past, Present & Future works to keep Cambridge and its surroundings special by positively influencing planning developments, delivering environmental education and managing the green spaces and historic buildings in its care for the benefit of all.",Wandlebury Ring,enquiries@cambridgeppf.org
